"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","9.12938367685948","17.0294800874265","19.7179831477903","31.7982565368062","35.5190256992851","40.3181281286349","45.1759350704136","49.0542770020426","52.4891464749236","57.0557670606721","59.0461655524857","53.567009488969","53.6933249996526","56.0184725381717","60.8338197637216","57.725603785129","59.4903580379036","58.7937397531304","55.0202640011093","51.7698494749871","53.7481614950098","57.0333958905163","59.473677916429","61.6863530332699","64.1848278400651","64.5541652656819","67.7241743303868","70.0696344957918","71.0854066443199","73.8930414462524","75.734610738747","76.2290471560597","76.8121664576934","75.7186551541064","75.982386633781","74.9218948103417","73.3576264307316","73.868486258846","74.3573875840774","75.10350492525","73.2448201523645","70.4742768986038","71.5710067246636","70.484278136466","70.4000900630882","",
"Afghanistan","AFG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","11","","8","9","14","14","14","31","34","22","20","19","22","25","40","41","42","38","31","31","27","37","35","39","48","50","53","55","59","60","62","64","59","57","60","62","64","64","66","57","57","51","56","55","55","",
"Africa Western and Central","AFW","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","2.17078516725198","5.17167250254809","5.84551972606337","5.70190286943646","12.2674673500905","21.362244264953","31.0217078106342","35.868423751168","42.460933362409","52.0139432126489","52.9502019629937","52.847806369702","44.8978236765403","43.378376974127","44.6287639877705","48.1669633154467","44.8991102305553","44.9109899651791","43.7709785008419","44.3056892260803","44.4894151544815","44.4417261644435","44.6185352438886","48.407989266369","50.9117346978807","55.118414421116","57.2613013988773","56.6706770936065","61.9928134328795","68.2373629102497","65.2034273419872","63.1780897918052","59.3643641885818","58.4915059258258","57.7653077514395","58.4023582703789","61.341725898591","64.1301869591889","64.6016606406063","65.3255201996163","64.8070361793759","64.6474016902092","61.6980210296541","65.0487894056618","67.1166199360164","",
"Angola","AGO","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","26","35","44","44","55","56","48","38","39","39","47","44","46","62","78","62","46","41","72","74","62","64","45","48","58","58","58","59","59","59","59","56","52","49","47","56","59","54","48","50","63","53","",
"Albania","ALB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","90","90","93","96","96","96","96","96","96","96","88","80","87","76","90","91","92","95","89","85","95","95","96","93","96","97","95","97","98","97","99","99","98","99","98","97","96","96","94","95","91","87","86","83","81","",
"Andorra","AND","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","90","97","97","97","98","96","98","94","91","94","98","98","99","99","98","95","96","96","97","99","99","99","98","99","98","99","98","",
"Arab World","ARB","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","15.2153889050072","16.3360316427558","22.2646173949572","25.4329922779179","30.9749205648392","52.227951181718","57.838504918896","61.5121703500363","70.0827968477056","75.9610265968641","76.6752237322469","76.0459662273478","74.8820972238983","75.411856306782","74.7073201639798","76.3124029874253","78.9880069919564","78.6070733493014","81.0595272997155","81.3217822953334","81.3648519406069","80.8821518969659","80.8387887294337","81.2016487570919","81.9387556714292","82.1604861189937","81.7552979371667","83.342344956964","82.9088539167182","85.3055703832449","86.7977105985454","86.8368710261535","84.648361525114","85.4947322634179","83.9859078837736","83.7727683149625","85.9158857943735","85.1220209691553","83.7870732517208","83.9627132609503","82.9925451267178","81.5697048750454","82.9644104556824","80.1086142018743","78.6072581706376","",
"United Arab Emirates","ARE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","34","42","41","51","53","60","67","71","74","78","80","82","85","90","90","90","90","95","95","96","94","94","94","94","94","92","92","92","92","93","94","95","96","98","99","99","99","99","99","99","99","99","98","98","98","",
"Argentina","ARG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","61","77","67","67","79","54","87","80","87","89","93","99","92","95","96","99","99","93","95","97","91","89","95","97","99","98","97","94","96","96","95","95","94","94","95","89","90","90","94","86","77","86","85","80","82","",
"Armenia","ARM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93","95","95","96","89","92","94","92","92","93","91","94","92","94","92","92","94","96","97","97","97","97","97","97","97","96","95","95","94","94","95","96","96","",
"American Samoa","ASM","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","48","73","69","80","89","95","95","89","87","99","99","91","93","99","93","99","99","95","97","99","99","97","99","99","99","99","99","98","99","98","96","93","91","88","99","96","97","89","85","99","94","97","",
"Australia","AUS","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","68","68","68","68","68","77","85","86","86","86","86","86","87","87","85","82","88","91","92","94","94","94","94","94","94","94","94","94","94","94","94","94","95","95","94","94","94","93","93","96","91","91","",
"Austria","AUT","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","25","25","25","30","40","60","60","60","60","60","60","60","60","60","60","87","90","78","65","75","79","78","79","74","75","80","79","83","76","80","84","88","92","96","96","95","96","94","95","95","99","95","90","90","",
"Azerbaijan","AZE","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","49","60","64","65","66","67","68","67","68","66","67","67","67","69","75","79","85","89","88","86","86","85","84","81","80","77","78","61","66","71","71","71","",
"Burundi","BDI","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","28","40","54","27","32","59","54","46","73","74","74","69","69","42","80","79","77","68","70","72","73","75","76","78","87","92","88","84","91","92","93","93","98","94","93","93","90","88","92","90","90","89","86","86","",
"Belgium","BEL","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","50","58","66","74","82","90","50","75","75","85","67","87","70","78","85","73","76","80","82","82","82","82","82","82","88","92","92","93","95","95","95","96","96","96","96","96","96","96","96","96","96","96","96","96","",
"Benin","BEN","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","23","20","26","30","48","79","60","70","67","78","65","60","66","67","69","70","68","66","65","63","61","66","70","66","71","68","70","74","68","65","67","68","65","61","58","54","53","52","52","44","",
"Burkina Faso","BFA","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","","","","38","40","37","52","66","79","69","60","50","45","43","40","41","24","36","48","63","64","76","78","84","88","94","94","94","92","89","87","82","88","88","88","88","88","88","88","88","88","88","88","",
"Bangladesh","BGD","Immunization, measles (% of children ages 12-23 months)","SH.IMM.MEAS","","","","","","","","","","","","","","","","","","","","","","","1","1","1","1","3","6","13","53","65","68","69","74","78","79","69","72","71","71","74","77","75","76","81","88","83","89","92","93","88","93","88","91","94","97","97","97","97","97","97","97","96","96","96","",
