,"Urban Population"
"1960",70
"1961",70.38
"1962",70.76
"1963",71.13
"1964",71.51
"1965",71.88
"1966",72.25
"1967",72.61
"1968",72.97
"1969",73.33
"1970",73.6
"1971",73.61
"1972",73.62
"1973",73.63
"1974",73.64
"1975",73.65
"1976",73.66
"1977",73.67
"1978",73.68
"1979",73.69
"1980",73.74
"1981",73.89
"1982",74.04
"1983",74.19
"1984",74.34
"1985",74.49
"1986",74.64
"1987",74.79
"1988",74.94
"1989",75.09
"1990",75.3
"1991",75.7
"1992",76.1
"1993",76.49
"1994",76.88
"1995",77.26
"1996",77.64
"1997",78.01
"1998",78.38
"1999",78.74
"2000",79.06
"2001",79.23
"2002",79.41
"2003",79.58
"2004",79.76
"2005",79.93
"2006",80.1
"2007",80.27
"2008",80.44
"2009",80.61
"2010",80.77
"2011",80.94
"2012",81.12
"2013",81.3
"2014",81.48
"2015",81.67
"2016",81.86
"2017",82.06
"2018",82.26
"2019",82.46
"2020",82.66
"2021",82.87
"2022",83.08
"2023",83.3
