"","urban_population","iso3"
"1",73.2,"DZA"
"2",66.2,"AGO"
"3",47.9,"BEN"
"4",70.2,"BWA"
"5",30,"BFA"
"6",13.4,"BDI"
"7",66.2,"CPV"
"8",57,"CMR"
"9",41.8,"CAF"
"10",23.3,"TCD"
"11",29.2,"COM"
"12",67.4,"COG"
"13",51.2,"CIV"
"14",45,"COD"
"15",72.6,"GNQ"
"16",40.7,"ERI"
"17",24,"SWZ"
"18",21.2,"ETH"
"19",89.7,"GAB"
"20",61.9,"GMB"
"21",56.7,"GHA"
"22",36.5,"GIN"
"23",43.8,"GNB"
"24",27.5,"KEN"
"25",28.6,"LSO"
"26",51.6,"LBR"
"27",37.9,"MDG"
"28",17.2,"MWI"
"29",43.1,"MLI"
"30",54.5,"MRT"
"31",36.5,"MOZ"
"32",51,"NAM"
"33",16.5,"NER"
"34",51.2,"NGA"
"35",17.3,"RWA"
"36",73.6,"STP"
"37",47.7,"SEN"
"38",57.1,"SYC"
"39",42.5,"SLE"
"40",66.9,"ZAF"
"41",19.9,"SSD"
"42",42.2,"TGO"
"43",24.4,"UGA"
"44",34.5,"TZA"
"45",44.1,"ZMB"
"46",32.2,"ZWE"
"47",24.5,"ATG"
"48",92,"ARG"
"49",83.1,"BHS"
"50",31.2,"BRB"
"51",45.9,"BLZ"
"52",69.8,"BOL"
"53",86.8,"BRA"
"54",81.5,"CAN"
"55",87.6,"CHL"
"56",81.1,"COL"
"57",80.1,"CRI"
"58",77.1,"CUB"
"59",70.8,"DMA"
"60",81.8,"DOM"
"61",64,"ECU"
"62",72.7,"SLV"
"63",36.4,"GRD"
"64",51.4,"GTM"
"65",26.7,"GUY"
"66",56.2,"HTI"
"67",57.7,"HND"
"68",56,"JAM"
"69",80.4,"MEX"
"70",58.8,"NIC"
"71",68.1,"PAN"
"72",61.9,"PRY"
"73",78.1,"PER"
"74",30.8,"KNA"
"75",18.8,"LCA"
"76",52.6,"VCT"
"77",66.1,"SUR"
"78",53.2,"TTO"
"79",82.5,"USA"
"80",95.4,"URY"
"81",88.2,"VEN"
"82",25.8,"AFG"
"83",89.4,"BHR"
"84",77.9,"DJI"
"85",42.7,"EGY"
"86",75.4,"IRN"
"87",70.7,"IRQ"
"88",91.2,"JOR"
"89",100,"KWT"
"90",88.8,"LBN"
"91",80.4,"LBY"
"92",63,"MAR"
"93",85.4,"OMN"
"94",36.9,"PAK"
"95",99.2,"QAT"
"96",84.1,"SAU"
"97",45.6,"SOM"
"98",34.9,"SDN"
"99",54.8,"SYR"
"100",69.3,"TUN"
"101",86.8,"ARE"
"102",37.3,"YEM"
"103",61.2,"ALB"
"104",88,"AND"
"105",63.2,"ARM"
"106",58.5,"AUT"
"107",56,"AZE"
"108",79,"BLR"
"109",98,"BEL"
"110",48.6,"BIH"
"111",75.3,"BGR"
"112",57.2,"HRV"
"113",66.8,"CYP"
"114",73.9,"CZE"
"115",88,"DNK"
"116",69.1,"EST"
"117",85.4,"FIN"
"118",80.7,"FRA"
"119",59,"GEO"
"120",77.4,"DEU"
"121",79.4,"GRC"
"122",71.6,"HUN"
"123",93.9,"ISL"
"124",63.4,"IRL"
"125",92.5,"ISR"
"126",70.7,"ITA"
"127",57.5,"KAZ"
"128",36.6,"KGZ"
"129",68.2,"LVA"
"130",67.9,"LTU"
"131",91.2,"LUX"
"132",94.7,"MLT"
"133",100,"MCO"
"134",67.2,"MNE"
"135",91.9,"NLD"
"136",58.2,"MKD"
"137",80.7,"NOR"
"138",60,"POL"
"139",65.8,"PRT"
"140",42.7,"MDA"
"141",54.1,"ROU"
"142",74.6,"RUS"
"143",97.4,"SMR"
"144",56.3,"SRB"
"145",53.7,"SVK"
"146",54.8,"SVN"
"147",80.6,"ESP"
"148",87.7,"SWE"
"149",73.8,"CHE"
"150",27.3,"TJK"
"151",75.6,"TUR"
"152",52,"TKM"
"153",69.5,"UKR"
"154",83.7,"GBR"
"155",50.4,"UZB"
"156",37.4,"BGD"
"157",41.6,"BTN"
"158",62.1,"PRK"
"159",34.5,"IND"
"160",56,"IDN"
"161",40.2,"MDV"
"162",30.9,"MMR"
"163",20.2,"NPL"
"164",18.6,"LKA"
"165",50.7,"THA"
"166",30.9,"TLS"
"167",86.1,"AUS"
"168",77.9,"BRN"
"169",23.8,"KHM"
"170",60.3,"CHN"
"171",75.3,"COK"
"172",56.8,"FJI"
"173",91.7,"JPN"
"174",54.8,"KIR"
"175",35.6,"LAO"
"176",76.6,"MYS"
"177",77.4,"MHL"
"178",22.8,"FSM"
"179",68.5,"MNG"
"180",100,"NRU"
"181",86.6,"NZL"
"182",45.5,"NIU"
"183",80.5,"PLW"
"184",13.2,"PNG"
"185",47.1,"PHL"
"186",81.4,"KOR"
"187",18.1,"WSM"
"188",100,"SGP"
"189",24.2,"SLB"
"190",23.1,"TON"
"191",63.2,"TUV"
"192",25.4,"VUT"
"193",36.6,"VNM"
